"","Kingdom","Phylum","Class","Order","Family","Genus","Species","other1","other2","other3","other4","other5","other6","others7","others8","others9","others10","others11","others12","others13","others14","others15","others16","others17","others19","barcode01","barcode02"
"CP007007.2523090.2524627","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 02-5993","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP018685.480898.482458","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP014790.1735835.1737395","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
"JSWS01000001.1232915.1234475","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJNM01000002.102344.103904","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJUA01000010.99780.101340","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"MJTC01000011.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJCN01000014.194820.196380","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJPG01000007.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJCX01000024.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"MJPE01000032.29.1589","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MCHM01000019.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MKND01000010.104194.105754","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MKOE01000011.99129.100689","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MKPJ01000006.102348.103908","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"MKOT01000006.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP011345.2193608.2195166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP011345.2030704.2032262","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP011345.502668.504226","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"LUBA01000003.106915.108474","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP019623.236894.238453","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"CP006591.2676298.2677848","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJSM01000013.256744.258304","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP019625.2656345.2657905","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes"," ABSOLUTE_NEW_STRAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP009258.2316545.2318169","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP001602.1970656.1972208","Bacteria","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"LJAR01000002.1610758.1612316","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP013285.1179807.1181367","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJTG01000012.99319.100879","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJQN01000014.124164.125724","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJRU01000001.99942.101502","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MJTO01000017.160409.161969","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"MVDY01000001.243139.244699","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP028183.1809476.1811033","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"APIJ01000024.169.1735","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes SHL010","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP028401.2388665.2390222","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"CP028399.231530.233087","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"CP003414.247258.248814","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes 07PF0776","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP030101.1281158.1282714","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"FR733643.2443004.2444553","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes ATCC 19117","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"FR733650.1691476.1693027","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes SLCC7179","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"LT985474.1722923.1724469","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"LT985474.2620921.2622467","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP016629.248729.250249","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"MTDV01000013.74.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CWMG01000119.3473.5003","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CWLE01000124.3521.5051","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"FFHU01000003.437210.438740","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"AFGI01000001.285943.287474","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes str. Scott A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
"AFGI01000001.279923.281454","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes str. Scott A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
"HG813249.2364350.2365887","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes 6179","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP007525.2691577.2693114","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0558","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP009897.1726590.1728127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CYWD01000022.67.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"HF558398.248759.250296","Bacteria","Firmicutes","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP007525.278433.279970","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0558","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"CP006874.282741.284278","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0861","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP009897.242332.243869","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CYUS01000020.67.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"JOOX01000002.739045.740581","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes FSL F6-684","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"CP007198.2402142.2403679","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-4758","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"S55472.1.1524","Bacteria","Firmicutes","Bacilli","Lactobacillales","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP006858.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 08-6569","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP006860.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-0815","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP006862.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 88-0478","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP007011.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 08-7669","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"CP008836.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-0814","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
