"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"MVDY01000001.243139.244699","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"LUBA01000003.106915.108474","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",2,2
"MVDY01000001.1833775.1835335","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP016629.248729.250249","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP006591.2676298.2677848","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",2,2
"CP006600.2950841.2952392","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",7,7
"CP006598.1492052.1493604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP006598.2945681.2947233","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP007492.248751.250303","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"FR733644.1832860.1834411","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes SLCC2378",1,1
"FR733650.1691476.1693027","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes SLCC7179",1,1
"FR733643.2443004.2444553","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes ATCC 19117",2,2
"CP028401.2388665.2390222","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP028399.231530.233087","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP028333.1604268.1605825","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP028183.1809476.1811033","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP030101.1281158.1282714","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",6,6
"CP003414.247258.248814","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes 07PF0776",2,2
"APIJ01000024.169.1735","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes SHL010",1,1
"LT985474.244200.245746","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"LT985474.1722923.1724469","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"LT985474.2620921.2622467","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"HG813247.1860455.1861992","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes R479a",1,1
"HG813249.2364350.2365887","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes 6179",1,1
"HF558398.248759.250296","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. LL195",1,1
"MTDV01000013.74.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP006859.2556390.2557927","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 08-6997",1,1
"CP006860.2556390.2557927","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-0815",1,1
"CP006858.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 08-6569",1,1
"CP007525.2691577.2693114","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0558",1,1
"CP007008.2523092.2524629","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 04-5457",1,1
"CP007018.2523092.2524629","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-1321",1,1
"CP006860.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-0815",1,1
"CP006862.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 88-0478",1,1
"CP007007.2523090.2524627","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 02-5993",1,1
"CP007525.278433.279970","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0558",1,1
"CP006874.282741.284278","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 4b str. 81-0861",1,1
"CP007011.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 08-7669",1,1
"CP007198.2402142.2403679","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-4758",1,1
"CP008836.263885.265422","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes serotype 1/2a str. 10-0814",1,1
"CP009897.1726590.1728127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP009897.242332.243869","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CYUT01000021.175.1712","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CWMG01000119.3473.5003","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CWLE01000124.3521.5051","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"AFGI01000001.285943.287474","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes str. Scott A",1,1
"AFGI01000001.279923.281454","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes str. Scott A",1,1
"CYUS01000020.67.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CYWD01000022.67.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"FFHU01000003.437210.438740","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CYWY01000016.67.1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CBVW010000002.1653553.1655090","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes QOC2",1,1
"CBVZ010000003.1332039.1333576","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes QOC1",1,1
"JOOX01000002.739045.740581","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes FSL F6-684",6,6
"S55472.1.1524","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",8,8
